"nuts2","freq","date"
4,606,2020-03-22 04:15:00
5,209,2020-03-22 04:15:00
6,393,2020-03-22 04:15:00
7,626,2020-03-22 04:15:00
8,249,2020-03-22 04:15:00
9,367,2020-03-22 04:15:00
1,54,2020-03-22 04:30:00
2,98,2020-03-22 04:30:00
3,422,2020-03-22 04:30:00
4,606,2020-03-22 04:30:00
5,209,2020-03-22 04:30:00
6,393,2020-03-22 04:30:00
7,626,2020-03-22 04:30:00
8,249,2020-03-22 04:30:00
9,367,2020-03-22 04:30:00
1,54,2020-03-22 04:45:00
2,98,2020-03-22 04:45:00
3,422,2020-03-22 04:45:00
4,606,2020-03-22 04:45:00
5,209,2020-03-22 04:45:00
6,393,2020-03-22 04:45:00
7,626,2020-03-22 04:45:00
8,249,2020-03-22 04:45:00
9,367,2020-03-22 04:45:00
1,54,2020-03-22 05:00:00
2,98,2020-03-22 05:00:00
3,422,2020-03-22 05:00:00
4,606,2020-03-22 05:00:00
5,209,2020-03-22 05:00:00
6,393,2020-03-22 05:00:00
7,626,2020-03-22 05:00:00
8,249,2020-03-22 05:00:00
9,367,2020-03-22 05:00:00
1,54,2020-03-22 05:15:00
2,98,2020-03-22 05:15:00
3,422,2020-03-22 05:15:00
4,606,2020-03-22 05:15:00
5,209,2020-03-22 05:15:00
6,393,2020-03-22 05:15:00
7,626,2020-03-22 05:15:00
8,249,2020-03-22 05:15:00
9,367,2020-03-22 05:15:00
1,54,2020-03-22 05:30:00
2,98,2020-03-22 05:30:00
3,422,2020-03-22 05:30:00
4,606,2020-03-22 05:30:00
5,209,2020-03-22 05:30:00
6,393,2020-03-22 05:30:00
7,626,2020-03-22 05:30:00
8,249,2020-03-22 05:30:00
9,367,2020-03-22 05:30:00
1,54,2020-03-22 05:45:00
2,98,2020-03-22 05:45:00
3,422,2020-03-22 05:45:00
4,606,2020-03-22 05:45:00
5,209,2020-03-22 05:45:00
6,393,2020-03-22 05:45:00
7,626,2020-03-22 05:45:00
8,249,2020-03-22 05:45:00
9,367,2020-03-22 05:45:00
1,54,2020-03-22 06:00:00
2,98,2020-03-22 06:00:00
3,422,2020-03-22 06:00:00
4,606,2020-03-22 06:00:00
5,209,2020-03-22 06:00:00
6,393,2020-03-22 06:00:00
7,626,2020-03-22 06:00:00
8,249,2020-03-22 06:00:00
9,367,2020-03-22 06:00:00
1,54,2020-03-22 06:15:00
2,98,2020-03-22 06:15:00
3,422,2020-03-22 06:15:00
4,606,2020-03-22 06:15:00
5,209,2020-03-22 06:15:00
6,393,2020-03-22 06:15:00
7,626,2020-03-22 06:15:00
8,249,2020-03-22 06:15:00
9,367,2020-03-22 06:15:00
1,54,2020-03-22 06:30:00
2,98,2020-03-22 06:30:00
3,422,2020-03-22 06:30:00
4,606,2020-03-22 06:30:00
5,209,2020-03-22 06:30:00
6,393,2020-03-22 06:30:00
7,626,2020-03-22 06:30:00
8,249,2020-03-22 06:30:00
9,367,2020-03-22 06:30:00
1,54,2020-03-22 06:45:00
2,98,2020-03-22 06:45:00
3,422,2020-03-22 06:45:00
4,606,2020-03-22 06:45:00
5,209,2020-03-22 06:45:00
6,393,2020-03-22 06:45:00
7,626,2020-03-22 06:45:00
8,249,2020-03-22 06:45:00
9,367,2020-03-22 06:45:00
1,54,2020-03-22 07:00:00
2,98,2020-03-22 07:00:00
3,422,2020-03-22 07:00:00
4,606,2020-03-22 07:00:00
5,209,2020-03-22 07:00:00
6,393,2020-03-22 07:00:00
7,626,2020-03-22 07:00:00
8,249,2020-03-22 07:00:00
9,367,2020-03-22 07:00:00
1,54,2020-03-22 07:15:00
2,98,2020-03-22 07:15:00
3,422,2020-03-22 07:15:00
4,606,2020-03-22 07:15:00
5,209,2020-03-22 07:15:00
6,393,2020-03-22 07:15:00
7,626,2020-03-22 07:15:00
8,249,2020-03-22 07:15:00
9,367,2020-03-22 07:15:00
1,54,2020-03-22 07:30:00
2,98,2020-03-22 07:30:00
3,422,2020-03-22 07:30:00
4,606,2020-03-22 07:30:00
5,209,2020-03-22 07:30:00
6,393,2020-03-22 07:30:00
7,626,2020-03-22 07:30:00
8,249,2020-03-22 07:30:00
9,369,2020-03-22 07:30:00
1,54,2020-03-22 07:45:00
2,98,2020-03-22 07:45:00
3,422,2020-03-22 07:45:00
4,606,2020-03-22 07:45:00
5,209,2020-03-22 07:45:00
6,393,2020-03-22 07:45:00
7,626,2020-03-22 07:45:00
8,249,2020-03-22 07:45:00
9,370,2020-03-22 07:45:00
1,54,2020-03-22 08:00:00
2,98,2020-03-22 08:00:00
3,422,2020-03-22 08:00:00
4,606,2020-03-22 08:00:00
5,209,2020-03-22 08:00:00
6,393,2020-03-22 08:00:00
7,626,2020-03-22 08:00:00
8,249,2020-03-22 08:00:00
9,370,2020-03-22 08:00:00
1,54,2020-03-22 08:15:00
2,98,2020-03-22 08:15:00
3,422,2020-03-22 08:15:00
4,606,2020-03-22 08:15:00
5,209,2020-03-22 08:15:00
6,393,2020-03-22 08:15:00
7,626,2020-03-22 08:15:00
8,249,2020-03-22 08:15:00
9,371,2020-03-22 08:15:00
1,54,2020-03-22 08:30:00
2,98,2020-03-22 08:30:00
3,422,2020-03-22 08:30:00
4,605,2020-03-22 08:30:00
5,209,2020-03-22 08:30:00
6,393,2020-03-22 08:30:00
7,626,2020-03-22 08:30:00
8,249,2020-03-22 08:30:00
9,372,2020-03-22 08:30:00
1,54,2020-03-22 08:45:00
2,98,2020-03-22 08:45:00
3,422,2020-03-22 08:45:00
4,605,2020-03-22 08:45:00
5,209,2020-03-22 08:45:00
6,393,2020-03-22 08:45:00
7,626,2020-03-22 08:45:00
8,249,2020-03-22 08:45:00
9,373,2020-03-22 08:45:00
1,55,2020-03-22 09:00:00
2,98,2020-03-22 09:00:00
3,422,2020-03-22 09:00:00
4,605,2020-03-22 09:00:00
5,209,2020-03-22 09:00:00
6,393,2020-03-22 09:00:00
7,626,2020-03-22 09:00:00
8,249,2020-03-22 09:00:00
9,380,2020-03-22 09:00:00
1,55,2020-03-22 09:15:00
2,98,2020-03-22 09:15:00
3,425,2020-03-22 09:15:00
4,605,2020-03-22 09:15:00
5,209,2020-03-22 09:15:00
6,395,2020-03-22 09:15:00
7,626,2020-03-22 09:15:00
8,249,2020-03-22 09:15:00
9,385,2020-03-22 09:15:00
1,55,2020-03-22 09:30:00
2,98,2020-03-22 09:30:00
3,433,2020-03-22 09:30:00
4,605,2020-03-22 09:30:00
5,209,2020-03-22 09:30:00
6,399,2020-03-22 09:30:00
7,626,2020-03-22 09:30:00
8,250,2020-03-22 09:30:00
9,387,2020-03-22 09:30:00
1,55,2020-03-22 09:45:00
2,98,2020-03-22 09:45:00
3,434,2020-03-22 09:45:00
4,605,2020-03-22 09:45:00
5,209,2020-03-22 09:45:00
6,406,2020-03-22 09:45:00
7,626,2020-03-22 09:45:00
8,250,2020-03-22 09:45:00
9,387,2020-03-22 09:45:00
1,55,2020-03-22 10:00:00
2,101,2020-03-22 10:00:00
3,434,2020-03-22 10:00:00
4,605,2020-03-22 10:00:00
5,209,2020-03-22 10:00:00
6,411,2020-03-22 10:00:00
7,626,2020-03-22 10:00:00
8,250,2020-03-22 10:00:00
9,387,2020-03-22 10:00:00
1,55,2020-03-22 10:15:00
2,101,2020-03-22 10:15:00
3,434,2020-03-22 10:15:00
4,606,2020-03-22 10:15:00
5,246,2020-03-22 10:15:00
6,414,2020-03-22 10:15:00
7,626,2020-03-22 10:15:00
8,250,2020-03-22 10:15:00
9,387,2020-03-22 10:15:00
1,55,2020-03-22 10:30:00
2,101,2020-03-22 10:30:00
3,434,2020-03-22 10:30:00
4,606,2020-03-22 10:30:00
5,246,2020-03-22 10:30:00
6,417,2020-03-22 10:30:00
7,626,2020-03-22 10:30:00
8,250,2020-03-22 10:30:00
9,387,2020-03-22 10:30:00
1,55,2020-03-22 10:45:00
2,101,2020-03-22 10:45:00
3,433,2020-03-22 10:45:00
4,606,2020-03-22 10:45:00
5,246,2020-03-22 10:45:00
6,418,2020-03-22 10:45:00
7,626,2020-03-22 10:45:00
8,250,2020-03-22 10:45:00
9,388,2020-03-22 10:45:00
1,55,2020-03-22 11:00:00
2,101,2020-03-22 11:00:00
3,433,2020-03-22 11:00:00
4,606,2020-03-22 11:00:00
5,246,2020-03-22 11:00:00
6,418,2020-03-22 11:00:00
7,626,2020-03-22 11:00:00
8,250,2020-03-22 11:00:00
9,388,2020-03-22 11:00:00
1,55,2020-03-22 11:15:00
2,101,2020-03-22 11:15:00
3,433,2020-03-22 11:15:00
4,605,2020-03-22 11:15:00
5,247,2020-03-22 11:15:00
6,418,2020-03-22 11:15:00
7,626,2020-03-22 11:15:00
8,250,2020-03-22 11:15:00
9,388,2020-03-22 11:15:00
1,55,2020-03-22 11:30:00
2,101,2020-03-22 11:30:00
3,433,2020-03-22 11:30:00
4,605,2020-03-22 11:30:00
5,247,2020-03-22 11:30:00
6,418,2020-03-22 11:30:00
7,627,2020-03-22 11:30:00
8,250,2020-03-22 11:30:00
9,389,2020-03-22 11:30:00
1,55,2020-03-22 11:45:00
2,102,2020-03-22 11:45:00
3,433,2020-03-22 11:45:00
4,605,2020-03-22 11:45:00
5,247,2020-03-22 11:45:00
6,418,2020-03-22 11:45:00
7,632,2020-03-22 11:45:00
8,262,2020-03-22 11:45:00
9,389,2020-03-22 11:45:00
1,55,2020-03-22 12:00:00
2,105,2020-03-22 12:00:00
3,433,2020-03-22 12:00:00
4,606,2020-03-22 12:00:00
5,247,2020-03-22 12:00:00
6,418,2020-03-22 12:00:00
7,636,2020-03-22 12:00:00
8,262,2020-03-22 12:00:00
9,389,2020-03-22 12:00:00
1,55,2020-03-22 12:15:00
2,105,2020-03-22 12:15:00
3,434,2020-03-22 12:15:00
4,609,2020-03-22 12:15:00
5,247,2020-03-22 12:15:00
6,420,2020-03-22 12:15:00
7,643,2020-03-22 12:15:00
8,262,2020-03-22 12:15:00
9,389,2020-03-22 12:15:00
1,55,2020-03-22 12:30:00
2,105,2020-03-22 12:30:00
3,434,2020-03-22 12:30:00
4,612,2020-03-22 12:30:00
5,247,2020-03-22 12:30:00
6,423,2020-03-22 12:30:00
7,643,2020-03-22 12:30:00
8,262,2020-03-22 12:30:00
9,389,2020-03-22 12:30:00
1,55,2020-03-22 12:45:00
2,105,2020-03-22 12:45:00
3,434,2020-03-22 12:45:00
4,612,2020-03-22 12:45:00
5,247,2020-03-22 12:45:00
6,424,2020-03-22 12:45:00
7,643,2020-03-22 12:45:00
8,262,2020-03-22 12:45:00
9,391,2020-03-22 12:45:00
1,55,2020-03-22 13:00:00
2,105,2020-03-22 13:00:00
3,434,2020-03-22 13:00:00
4,612,2020-03-22 13:00:00
5,247,2020-03-22 13:00:00
6,424,2020-03-22 13:00:00
7,643,2020-03-22 13:00:00
8,263,2020-03-22 13:00:00
9,398,2020-03-22 13:00:00
1,55,2020-03-22 13:15:00
2,105,2020-03-22 13:15:00
3,437,2020-03-22 13:15:00
4,618,2020-03-22 13:15:00
5,247,2020-03-22 13:15:00
6,424,2020-03-22 13:15:00
7,643,2020-03-22 13:15:00
8,263,2020-03-22 13:15:00
9,403,2020-03-22 13:15:00
1,55,2020-03-22 13:30:00
2,105,2020-03-22 13:30:00
3,441,2020-03-22 13:30:00
4,627,2020-03-22 13:30:00
5,247,2020-03-22 13:30:00
6,424,2020-03-22 13:30:00
7,643,2020-03-22 13:30:00
8,263,2020-03-22 13:30:00
9,403,2020-03-22 13:30:00
1,56,2020-03-22 13:45:00
2,105,2020-03-22 13:45:00
3,446,2020-03-22 13:45:00
4,627,2020-03-22 13:45:00
5,247,2020-03-22 13:45:00
6,424,2020-03-22 13:45:00
7,643,2020-03-22 13:45:00
8,263,2020-03-22 13:45:00
9,403,2020-03-22 13:45:00
1,62,2020-03-22 14:00:00
2,105,2020-03-22 14:00:00
3,446,2020-03-22 14:00:00
4,627,2020-03-22 14:00:00
5,248,2020-03-22 14:00:00
6,423,2020-03-22 14:00:00
7,643,2020-03-22 14:00:00
8,263,2020-03-22 14:00:00
9,403,2020-03-22 14:00:00
1,63,2020-03-22 14:15:00
2,105,2020-03-22 14:15:00
3,446,2020-03-22 14:15:00
4,627,2020-03-22 14:15:00
5,269,2020-03-22 14:15:00
6,423,2020-03-22 14:15:00
7,644,2020-03-22 14:15:00
8,263,2020-03-22 14:15:00
9,403,2020-03-22 14:15:00
1,63,2020-03-22 14:30:00
2,105,2020-03-22 14:30:00
3,446,2020-03-22 14:30:00
4,628,2020-03-22 14:30:00
5,269,2020-03-22 14:30:00
6,423,2020-03-22 14:30:00
7,644,2020-03-22 14:30:00
8,263,2020-03-22 14:30:00
9,403,2020-03-22 14:30:00
1,63,2020-03-22 14:45:00
2,106,2020-03-22 14:45:00
3,450,2020-03-22 14:45:00
4,629,2020-03-22 14:45:00
5,271,2020-03-22 14:45:00
6,423,2020-03-22 14:45:00
7,644,2020-03-22 14:45:00
8,263,2020-03-22 14:45:00
9,403,2020-03-22 14:45:00
1,63,2020-03-22 15:00:00
2,108,2020-03-22 15:00:00
3,460,2020-03-22 15:00:00
4,629,2020-03-22 15:00:00
5,271,2020-03-22 15:00:00
6,428,2020-03-22 15:00:00
7,644,2020-03-22 15:00:00
8,263,2020-03-22 15:00:00
9,403,2020-03-22 15:00:00
1,63,2020-03-22 15:15:00
2,108,2020-03-22 15:15:00
3,467,2020-03-22 15:15:00
4,629,2020-03-22 15:15:00
5,271,2020-03-22 15:15:00
6,433,2020-03-22 15:15:00
7,644,2020-03-22 15:15:00
8,263,2020-03-22 15:15:00
9,404,2020-03-22 15:15:00
1,63,2020-03-22 15:30:00
2,110,2020-03-22 15:30:00
3,467,2020-03-22 15:30:00
4,629,2020-03-22 15:30:00
5,271,2020-03-22 15:30:00
6,433,2020-03-22 15:30:00
7,644,2020-03-22 15:30:00
8,263,2020-03-22 15:30:00
9,405,2020-03-22 15:30:00
1,63,2020-03-22 15:45:00
2,110,2020-03-22 15:45:00
3,467,2020-03-22 15:45:00
4,629,2020-03-22 15:45:00
5,271,2020-03-22 15:45:00
6,433,2020-03-22 15:45:00
7,644,2020-03-22 15:45:00
8,263,2020-03-22 15:45:00
9,408,2020-03-22 15:45:00
1,64,2020-03-22 16:00:00
2,110,2020-03-22 16:00:00
3,467,2020-03-22 16:00:00
4,629,2020-03-22 16:00:00
5,271,2020-03-22 16:00:00
6,442,2020-03-22 16:00:00
7,644,2020-03-22 16:00:00
8,263,2020-03-22 16:00:00
9,412,2020-03-22 16:00:00
1,64,2020-03-22 16:15:00
2,110,2020-03-22 16:15:00
3,467,2020-03-22 16:15:00
4,629,2020-03-22 16:15:00
5,308,2020-03-22 16:15:00
6,442,2020-03-22 16:15:00
7,644,2020-03-22 16:15:00
8,272,2020-03-22 16:15:00
9,424,2020-03-22 16:15:00
1,64,2020-03-22 16:30:00
2,110,2020-03-22 16:30:00
3,468,2020-03-22 16:30:00
4,636,2020-03-22 16:30:00
5,308,2020-03-22 16:30:00
6,442,2020-03-22 16:30:00
7,644,2020-03-22 16:30:00
8,272,2020-03-22 16:30:00
9,429,2020-03-22 16:30:00
1,64,2020-03-22 16:45:00
2,110,2020-03-22 16:45:00
3,469,2020-03-22 16:45:00
4,637,2020-03-22 16:45:00
5,308,2020-03-22 16:45:00
6,442,2020-03-22 16:45:00
7,644,2020-03-22 16:45:00
8,272,2020-03-22 16:45:00
9,429,2020-03-22 16:45:00
1,64,2020-03-22 17:00:00
2,110,2020-03-22 17:00:00
3,470,2020-03-22 17:00:00
4,637,2020-03-22 17:00:00
5,308,2020-03-22 17:00:00
6,442,2020-03-22 17:00:00
7,644,2020-03-22 17:00:00
8,272,2020-03-22 17:00:00
9,429,2020-03-22 17:00:00
1,64,2020-03-22 17:15:00
2,110,2020-03-22 17:15:00
3,470,2020-03-22 17:15:00
4,640,2020-03-22 17:15:00
5,308,2020-03-22 17:15:00
6,446,2020-03-22 17:15:00
7,647,2020-03-22 17:15:00
8,280,2020-03-22 17:15:00
9,429,2020-03-22 17:15:00
1,64,2020-03-22 17:30:00
2,110,2020-03-22 17:30:00
3,470,2020-03-22 17:30:00
4,641,2020-03-22 17:30:00
5,308,2020-03-22 17:30:00
6,446,2020-03-22 17:30:00
7,651,2020-03-22 17:30:00
8,280,2020-03-22 17:30:00
9,429,2020-03-22 17:30:00
1,64,2020-03-22 17:45:00
2,110,2020-03-22 17:45:00
3,470,2020-03-22 17:45:00
4,641,2020-03-22 17:45:00
5,308,2020-03-22 17:45:00
6,446,2020-03-22 17:45:00
7,659,2020-03-22 17:45:00
8,280,2020-03-22 17:45:00
9,429,2020-03-22 17:45:00
1,64,2020-03-22 18:00:00
2,110,2020-03-22 18:00:00
3,470,2020-03-22 18:00:00
4,643,2020-03-22 18:00:00
5,308,2020-03-22 18:00:00
6,446,2020-03-22 18:00:00
7,665,2020-03-22 18:00:00
8,280,2020-03-22 18:00:00
9,429,2020-03-22 18:00:00
1,64,2020-03-22 18:15:00
2,110,2020-03-22 18:15:00
3,470,2020-03-22 18:15:00
4,651,2020-03-22 18:15:00
5,320,2020-03-22 18:15:00
6,446,2020-03-22 18:15:00
7,665,2020-03-22 18:15:00
8,280,2020-03-22 18:15:00
9,429,2020-03-22 18:15:00
1,64,2020-03-22 18:30:00
2,110,2020-03-22 18:30:00
3,470,2020-03-22 18:30:00
4,651,2020-03-22 18:30:00
5,320,2020-03-22 18:30:00
6,446,2020-03-22 18:30:00
7,665,2020-03-22 18:30:00
8,280,2020-03-22 18:30:00
9,429,2020-03-22 18:30:00
1,64,2020-03-22 18:45:00
2,110,2020-03-22 18:45:00
3,470,2020-03-22 18:45:00
4,652,2020-03-22 18:45:00
5,320,2020-03-22 18:45:00
6,446,2020-03-22 18:45:00
7,665,2020-03-22 18:45:00
8,293,2020-03-22 18:45:00
9,429,2020-03-22 18:45:00
1,64,2020-03-22 19:00:00
2,110,2020-03-22 19:00:00
3,470,2020-03-22 19:00:00
4,652,2020-03-22 19:00:00
5,320,2020-03-22 19:00:00
6,446,2020-03-22 19:00:00
7,665,2020-03-22 19:00:00
8,294,2020-03-22 19:00:00
9,429,2020-03-22 19:00:00
1,64,2020-03-22 19:15:00
2,110,2020-03-22 19:15:00
3,471,2020-03-22 19:15:00
4,656,2020-03-22 19:15:00
5,320,2020-03-22 19:15:00
6,446,2020-03-22 19:15:00
7,666,2020-03-22 19:15:00
8,294,2020-03-22 19:15:00
9,429,2020-03-22 19:15:00
1,64,2020-03-22 19:30:00
2,110,2020-03-22 19:30:00
3,482,2020-03-22 19:30:00
4,658,2020-03-22 19:30:00
5,320,2020-03-22 19:30:00
6,446,2020-03-22 19:30:00
7,667,2020-03-22 19:30:00
8,294,2020-03-22 19:30:00
9,431,2020-03-22 19:30:00
1,64,2020-03-22 19:45:00
2,110,2020-03-22 19:45:00
3,493,2020-03-22 19:45:00
4,660,2020-03-22 19:45:00
5,320,2020-03-22 19:45:00
6,446,2020-03-22 19:45:00
7,667,2020-03-22 19:45:00
8,294,2020-03-22 19:45:00
9,443,2020-03-22 19:45:00
1,64,2020-03-22 20:00:00
2,110,2020-03-22 20:00:00
3,507,2020-03-22 20:00:00
4,667,2020-03-22 20:00:00
5,320,2020-03-22 20:00:00
6,446,2020-03-22 20:00:00
7,667,2020-03-22 20:00:00
8,294,2020-03-22 20:00:00
9,443,2020-03-22 20:00:00
1,64,2020-03-22 20:15:00
2,110,2020-03-22 20:15:00
3,511,2020-03-22 20:15:00
4,673,2020-03-22 20:15:00
5,345,2020-03-22 20:15:00
6,446,2020-03-22 20:15:00
7,672,2020-03-22 20:15:00
8,294,2020-03-22 20:15:00
9,443,2020-03-22 20:15:00
1,64,2020-03-22 20:30:00
2,110,2020-03-22 20:30:00
3,511,2020-03-22 20:30:00
4,673,2020-03-22 20:30:00
5,345,2020-03-22 20:30:00
6,446,2020-03-22 20:30:00
7,672,2020-03-22 20:30:00
8,294,2020-03-22 20:30:00
9,443,2020-03-22 20:30:00
1,64,2020-03-22 20:45:00
2,110,2020-03-22 20:45:00
3,511,2020-03-22 20:45:00
4,674,2020-03-22 20:45:00
5,345,2020-03-22 20:45:00
6,446,2020-03-22 20:45:00
7,672,2020-03-22 20:45:00
8,294,2020-03-22 20:45:00
9,443,2020-03-22 20:45:00
1,64,2020-03-22 21:00:00
2,110,2020-03-22 21:00:00
3,511,2020-03-22 21:00:00
4,675,2020-03-22 21:00:00
5,345,2020-03-22 21:00:00
6,446,2020-03-22 21:00:00
7,673,2020-03-22 21:00:00
8,294,2020-03-22 21:00:00
9,443,2020-03-22 21:00:00
1,64,2020-03-22 21:15:00
2,110,2020-03-22 21:15:00
3,511,2020-03-22 21:15:00
4,675,2020-03-22 21:15:00
5,345,2020-03-22 21:15:00
6,446,2020-03-22 21:15:00
7,676,2020-03-22 21:15:00
8,294,2020-03-22 21:15:00
9,443,2020-03-22 21:15:00
1,64,2020-03-22 21:30:00
2,110,2020-03-22 21:30:00
3,511,2020-03-22 21:30:00
4,678,2020-03-22 21:30:00
5,345,2020-03-22 21:30:00
6,446,2020-03-22 21:30:00
7,676,2020-03-22 21:30:00
8,294,2020-03-22 21:30:00
9,443,2020-03-22 21:30:00
1,64,2020-03-22 21:45:00
2,110,2020-03-22 21:45:00
3,511,2020-03-22 21:45:00
4,681,2020-03-22 21:45:00
5,345,2020-03-22 21:45:00
6,446,2020-03-22 21:45:00
7,676,2020-03-22 21:45:00
8,294,2020-03-22 21:45:00
9,443,2020-03-22 21:45:00
1,64,2020-03-22 22:00:00
2,110,2020-03-22 22:00:00
3,511,2020-03-22 22:00:00
4,681,2020-03-22 22:00:00
5,345,2020-03-22 22:00:00
6,446,2020-03-22 22:00:00
7,676,2020-03-22 22:00:00
8,294,2020-03-22 22:00:00
9,443,2020-03-22 22:00:00
1,64,2020-03-22 22:15:00
2,111,2020-03-22 22:15:00
3,511,2020-03-22 22:15:00
4,681,2020-03-22 22:15:00
5,354,2020-03-22 22:15:00
6,446,2020-03-22 22:15:00
7,676,2020-03-22 22:15:00
8,294,2020-03-22 22:15:00
9,443,2020-03-22 22:15:00
1,64,2020-03-22 22:30:00
2,113,2020-03-22 22:30:00
3,511,2020-03-22 22:30:00
4,681,2020-03-22 22:30:00
5,354,2020-03-22 22:30:00
6,446,2020-03-22 22:30:00
7,676,2020-03-22 22:30:00
8,294,2020-03-22 22:30:00
9,443,2020-03-22 22:30:00
1,64,2020-03-22 22:45:00
2,113,2020-03-22 22:45:00
3,511,2020-03-22 22:45:00
